actor_id,position_code,tenure_start,tenure_end,notes
tur.1968.003,tur.min.cltr.exc.01,10-07-18,,Erdogan IV
tur.1970.002,tur.min.educ.exc.01,04-06-23,,Erdogan IV
tur.1954.002,tur.min.dfns .exc.01,04-06-23,,Erdogan IV
tur.1966.004,tur.min.hlth.exc.01,02-07-24,,Erdogan IV
tur.1984.001,tur.min.comc.exc.01,04-06-23,,Erdogan IV
tur.1969.001,tur.min.agrc.exc.01,04-06-23,,Erdogan IV
rus.1967.002,rus.hos.spx,22-05-12,,Putin VI
nga.1963.001,nga.org.rlg.xtn.mmb.01.exc.01,15-07-22,,Civil Society
gbr.1949.001,gbr.uh.224,11-10-19,,Upper House
usa.1991.001,usa.sbs.nys.lh.086,01-01-21,,Subnational Legislature
aus.1968.001,aus.min.infr.cms.psc.exc.01,15-01-17,,Albanese III
gbr.1970.002,gbr.cpl.exc.01,09-05-2016,,,
ukr.1982.001,ukr.hos.dfns.cme.exc.01,18-07-2025,,Zelenskyy II
nga.1970.001,vat.sbs.kdn.knt.exc.01,02-04-2020,,Francis
fra.1955.001,fra.hos,16-05-2007,15-05-2012,,
aus.1973.004,aus.sbs.nsw.lh.040,20-04-2023,,,
bra.1968.001,bra.jstc.grtc.exc.02,22-03-2017,,Temer I
bra.1955.001,bra.hos,01-01-2019,01-01-2023,,
deu.1958.001,igo.002.exc.exc.01,01-12-2019,,,
gnb.1972.001,gnb.hos,27-02-2020,26-11-2025,,
gnb.1960.001,gnb.hos,27-11-2025,,,
gnb.1960.002,gnb.hos.gndm.exc.01,24-02-2021,,,
usa.1956.002,usa.sbs.geo.jstc.vrbn.cmte.exc.01,15-01-2018,,,
usa.1988.001,usa.sbs.geo.jstc.grtc.vrbn.60.mgs.12,01-02-2023,,,
chn.1968.001,chn.sbs.hkg.ntfd.incd.exc.01,26-03-2022,,,
