actor_id,surname,given_name,middle_name,birth_year,position_code,position_title,,,,,,
gbr.1967.001,Alexander,Douglas,Garven,1967,gbr.min.spec.int.02.exc.01,Secretary of State for Scotland,,,,,,
gbr.1966.001,Stevens,Joanna,Meriel,1966,gbr.min.spec.int.03.exc.01,Secretary of State for Wales,,,,,,
gbr.1986.001,Jones,Darren,,1986,gbr.hog.ops.exc.01,Chancellor of the Duchy of Lancaster,,,,,,
gbr.1968.001,Hermer,Richard,Simon,1968,gbr.min.jst.exc.01.exc.01,Attorney General,,,,,,
gbr.1957.001,Campbell,Alan,,1957,gbr.hog.lh.exc.01.exc.01,Lord President of the Council,,,,,,
gbr.1959.001,Smith,Angela,Evans,1959,gbr.hog.uh.exc.01.exc.01,Lord Privy Seal,,,,,,
can.1965.001,Carney,Mark,,1965,can.hog,Prime Minister of Canada,,,,,,
can.1972.001,Anand,Anita,,1972,can.min.forn.exc.01,Minister of Foreign Affairs,,,,,,
can.1970.001,Champagne,Francois Philippe,,1970,can.min.fisc.exc.01,Minister of Finance,,,,,,
can.1960.001,McGuinty,David,,1960,can.min.dfns.exc.01,Minister of National Defence,,,,,,
can.1984.001,Fraser,Sean,Simon Andrew,1984,can.min.jstc.exc.01,Minister of Justice and Attorney General of Canada,,,,,,
can.1973.001,Anandasangaree,Gary,,1973,can.min.gndm.exc.01,Minister of Public Safety,,,,,,
can.1963.001,Michel,Marjorie,,1963,can.min.hlth.exc.01,Minister of Health,,,,,,
can.1980.001,Gull-Matsy,Mandy,Shana,1980,can.min.spec.int.01.exc.01,Minister of Indigenous Services,,,,,,
can.1986.001,Alty,Rebecca,,1986,can.min.spec.int.02.exc.01,Minister of Crown-Indigenous Relations,,,,,,
can.1979.001,Joly,Melanie,,1979,can.min.comc.exc.01,"Minister of Innovation, Science and Industry",,,,,,
can.1976.001,MacDonald,Heath,,1966,can.min.agrc.exc.01,Minister of Agriculture and Agri-Food,,,,,,
can.1966.001,MacKinnon,Steven,,1966,can.min.infr.exc.01,Minister of Transport,,,,,,
can.1966.002,Hodgson,Timothy,,1966,can.min.resr.eng.exc.01,Minister of Natural Resources,,,,,,
can.1971.001,Dabrusin,Julie,,1971,can.min.resr.env.exc.01,Minister of Environment and Climate Change,,,,,,
can.1966.003,Hadju,Patty,,1966,can.min.labr.exc.01,Minister of Jobs and Families,,,,,,
can.1965.002,Diab,Lena,Metlege,1965,can.min.jstc.img.exc.01,"Minister of Immigration, Refugees and Citizenship",,,,,,
can.1964.001,Robertson,Geregor,Angus Bethune,1964,can.min.hous.exc.01,"Minister of Housing, Infrastructure and Communities",,,,,,
can.1979.002,McKnight,Jill,,1979,can.min.dfns.vet.exc.01,Minister of Veterans Affairs,,,,,,
can.1960.002,Thompson,Joanne,,1960,can.min.agrc.pec.exc.01,"Minister of Fisheries, Oceans and the Canadian Coast Guard",,,,,,
can.1984.002,Sidhu,Maninder,,1984,can.min.trde.exc.01,"Minister of Export Promotion, International Trade and Economic Development",,,,,,
can.1970.002,Guilbeault,Steven,,1970,can.min.cltr.exc.01,Minister of Canadian Heritage,,,,,,
can.1980.002,Valdez,Rechie,,1980,can.min.labr.soc.exc.01,Minister for Women and Gender Equality and Youth,,,,,,
can.1983.001,Chartrand,Rebecca,,1983,can.min.resr.int.exc.01,Minister of Northern Affairs,,,,,,
can.1955.001,Olszewski,Elanor,Angela,1955,can.min.gndm.ops.exc.01,Minister of Emergency Preparedness,,,,,,
can.1988.001,Lightbound,Joel,,1988,can.min.spec.ops.exc.01,Minister of Public Services and Procurement,,,,,,
aus.1963.001,Albanese,Anthony,,1963,aus.hog,Prime Minister of Australia,,,,,,
aus.1978.001,Wong,Penny,,1968,aus.min.forn.exc.01,Minister for Foreign Affairs,,,,,,
aus.1978.003,Chalmers,Jim,,1978,aus.min.fisc.exc.01,Federal Treasurer,,,,,,
aus.1967.001,Marles,Richard,,1967,aus.min.dfns.exc.01,Deputy Prime Minister and Minister for Defence,,,,,,
aus.1971.001,Rowland,Michelle,,1971,aus.min.jstc.exc.01,Attorney-General,,,,,,
aus.1970.001,Gallagher,Katy,,1970,aus.min.fisc.ops.exc.01,Minister for Finance,,,,,,
aus.1970.002,Butler,Mark,,1970,aus.min.hlth.exc.01,Minister for Health and Aged Care,,,,,,
aus.1969.001,Burke,Tony,,1969,aus.min.gndm.exc.01,Minister for Home Affairs,,,,,,
aus.1973.001,Bowen,Chris,,1973,aus.min.resr.eng.exc.01,Minister for Climate Change and Energy,,,,,,
aus.1972.001,Clare,Jason,,1972,aus.min.educ.exc.01,Minister for Education,,,,,,
aus.1966.001,King,Catherine,,1966,aus.min.infr.exc.01,"Minister for Infrastructure, Transport, Regional Development and Local Government",,,,,,
aus.1985.001,Wells,Anika,,1985,aus.min.cltr.ath.exc.01,Minister for Communications,,,,,,
aus.1973.003,Watt,Murray,,1973,aus.min.resr.env.exc.01,Minister for the Environment and Water,,,,,,
aus.1969.002,Plibersek,Tanya,,1969,aus.min.labr.psn.exc.01,Minister for Social Services,,,,,,
aus.1978.002,Rishworth,Amanda,,1978,aus.min.labr.exc.01,Minister for Employment and Workplace Relations,,,,,,
aus.1970.003,McCarthy,Malarndirri,,1970,aus.min.spec.int.exc.01,Minister for Indigenous Australians,,,,,,
aus.1980.001,O'Neil,Clare,,1980,aus.min.hous.exc.01,Minister for Housing,,,,,,
aus.1971.002,Collins,Julie,,1971,aus.min.agrc.exc.01,"Minister for Agriculture, Fisheries and Forestry",,,,,,
aus.1973.002,Ayres,Timothy,,1973,aus.min.comc.exc.01,Minister for Industry and Science,,,,,,
aus.1954.001,Farrell,Donald,Edward,1954,aus.min.trde.exc.01,Minister for Trade and Tourism,,,,,,
jpn.1961.003,Takaichi,Sanae,,1961,jpn.hog,Prime Minister of Japan,,,,,,
jpn.1955.001,Toshimitsu,Motegi,,1955,jpn.min.forn.exc.01,Minister for Foreign Affairs,,,,,,
jpn.1959.001,Katayama,Satsuki,,1959,jpn.min.fisc.exc.01,Minister of Finance,,,,,,
jpn.1981.001,Koizumi,Shinjiro,,1981,jpn.min.dfns.exc.01,Minister of Defense,,,,,,
jpn.1948.001,Hiraguchi,Hiroshi,,1948,jpn.min.jstc.exc.01,Minister of Justice,,,,,,
jpn.1961.001,Hayashi,Yoshimasa,,1961,jpn.min.spec.int.ops.exc.01,Minister of Internal Affairs and Communications,,,,,,
jpn.1960.001,Akazawa,Ryosei,,1960,jpn.min.comc.exc.01,"Minister of Economy, Trade and Industry",,,,,,
